a0	329.116
a1	329.617
a2	330.052
a3	330.553
b0	331.013
b1	331.470
b2	331.949
b3	332.406
c0	332.888
c1	333.345
c2	333.824
c3	334.281
d0	334.741
d1	335.242
d2	335.677
d3	336.178
e0	336.631
e1	337.099
e2	337.569
e3	338.038
f0	338.511
f1	338.969
f2	339.449
f3	339.907
g0	340.365
g1	340.867
g2	341.302
g3	341.803
h0	342.241
h1	342.742
h2	343.176
h3	343.677
i0	344.136
i1	344.594
i2	345.074
i3	345.532
j0	345.991
j1	346.492
j2	346.926
j3	347.427
k0	347.866
k1	348.367
k2	348.801
k3	349.302
l0	349.741
l1	350.242
l2	350.676
l3	351.177
m0	351.616
m1	352.116
m2	352.551
m3	353.052
n0	353.512
n1	353.969
n2	354.449
n3	354.906
o0	355.387
o1	355.844
o2	356.324
o3	356.781
p0	357.262
p1	357.719
p2	358.199
p3	358.656
q0	359.115
q1	359.617
q2	360.051
q3	360.553
r0	360.991
r1	361.492
r2	361.926
r3	362.427
end     362.896
